t[s]  E[J]  dE/E0
   3.4082208000000000E+13   -7.2865220911458125E+42    4.0895066316124235E-07
   3.4713360000000000E+13   -7.2865147644883221E+42   -5.9655791761816237E-07
   3.5344512000000000E+13   -7.2865177719534015E+42   -1.8381418724300279E-07
   3.5975664000000000E+13   -7.2865245115205419E+42    7.4112226559748938E-07
   3.6606816000000000E+13   -7.2865157761551630E+42   -4.5771702178311001E-07
   3.7237968000000000E+13   -7.2865117567021507E+42   -1.0093457145675977E-06
   3.7869120000000000E+13   -7.2864968113587659E+42   -3.0604407788113486E-06
   3.8500272000000000E+13   -7.2865100624874255E+42   -1.2418593056615728E-06
   3.9131424000000000E+13   -7.2865174040203055E+42   -2.3430923026146295E-07
   3.9762576000000000E+13   -7.2865104940174479E+42   -1.1826362369014189E-06
   4.0393728000000000E+13   -7.2865200503656461E+42    1.2887452045717489E-07
   4.1024880000000000E+13   -7.2865126181927746E+42   -8.9111496394791393E-07
   4.1656032000000000E+13   -7.2865151237860237E+42   -5.4724799388823406E-07
   4.2287184000000000E+13   -7.2865138928556268E+42   -7.1618056349055990E-07
   4.2918336000000000E+13   -7.2865172510066755E+42   -2.5530878130917158E-07
   4.3549488000000000E+13   -7.2865136564641676E+42   -7.4862286626371054E-07
   4.4180640000000000E+13   -7.2865144792352136E+42   -6.3570598051964878E-07
   4.4811792000000000E+13   -7.2865080207853503E+42   -1.5220619708914790E-06
   4.5442944000000000E+13   -7.2865159522189271E+42   -4.3355407629501933E-07
   4.6074096000000000E+13   -7.2865086416525588E+42   -1.4368543156213223E-06
   4.6705248000000000E+13   -7.2865061025761204E+42   -1.7853165099425098E-06
   4.7336400000000000E+13   -7.2865172468281525E+42   -2.5588224072617528E-07
   4.7967552000000000E+13   -7.2865151850873438E+42   -5.3883501656173266E-07
   4.8598704000000000E+13   -7.2865116548242386E+42   -1.0233274128975264E-06
   4.9229856000000000E+13   -7.2865179133723416E+42   -1.6440588845605886E-07
   4.9861008000000000E+13   -7.2865114873082722E+42   -1.0463172608369367E-06
   5.0492160000000000E+13   -7.2865029556003681E+42   -2.2172066490017750E-06
   5.1123312000000000E+13   -7.2865219388776229E+42    3.8805341616826107E-07
   5.1754464000000000E+13   -7.2865218055384130E+42    3.6975397745287237E-07
   5.2385616000000000E+13   -7.2865051347018775E+42   -1.9181473209345861E-06
   5.3016768000000000E+13   -7.2865167390463791E+42   -3.2557008010264699E-07
   5.3647920000000000E+13   -7.2865180339278102E+42   -1.4786088709614035E-07
   5.4279072000000000E+13   -7.2865173886931322E+42   -2.3641272756610468E-07
   5.4910224000000000E+13   -7.2865183270927148E+42   -1.0762701134103691E-07
   5.5541376000000000E+13   -7.2865114592261620E+42   -1.0501712423901681E-06
   5.6172528000000000E+13   -7.2865057179980391E+42   -1.8380959064344472E-06
   5.6803680000000000E+13   -7.2865221784352227E+42    4.2093023925774187E-07
   5.7434832000000000E+13   -7.2865168390655093E+42   -3.1184348050997132E-07
   5.8065984000000000E+13   -7.2865160370573274E+42   -4.2191087615880163E-07
   5.8697136000000000E+13   -7.2865100217910319E+42   -1.2474444682121191E-06
   5.9328288000000000E+13   -7.2865082788086628E+42   -1.4866509181503839E-06
   5.9959440000000000E+13   -7.2865183279687628E+42   -1.0750678272947943E-07
   6.0590592000000000E+13   -7.2864984310385276E+42   -2.8381563468435335E-06
   6.1221744000000000E+13   -7.2865123101725920E+42   -9.3338757421652032E-07
   6.1852896000000000E+13   -7.2865229797199896E+42    5.3089835361605397E-07
   6.2484048000000000E+13   -7.2865177285558685E+42   -1.8977005346160690E-07
   6.3115200000000000E+13   -7.2865135578298639E+42   -7.6215941261483837E-07
