t[s]  E[J]  dE/E0
   0.0000000000000000E+00   -7.3108461910254217E+42    0.0000000000000000E+00
   6.3115200000000000E+11   -7.3038216955938914E+42   -9.6083206348307644E-04
   1.2623040000000000E+12   -7.3014628053641768E+42   -1.2834883153148191E-03
   1.8934560000000000E+12   -7.2976324324983705E+42   -1.8074184823190552E-03
   2.5246080000000000E+12   -7.2928236973961211E+42   -2.4651720414285956E-03
   3.1557600000000000E+12   -7.2845416382972925E+42   -3.5980175264007015E-03
   3.7869120000000000E+12   -7.2798648457725086E+42   -4.2377235744536510E-03
   4.4180640000000000E+12   -7.2735219356365277E+42   -5.1053263074679672E-03
   5.0492160000000000E+12   -7.2674380071553510E+42   -5.9375047341793837E-03
   5.6803680000000000E+12   -7.2626122854302991E+42   -6.5975817757365990E-03
   6.3115200000000000E+12   -7.2589840575232950E+42   -7.0938619343122221E-03
   6.9426720000000000E+12   -7.2555919684020887E+42   -7.5578423043780414E-03
   7.5738240000000000E+12   -7.2539668312698401E+42   -7.7801335535419985E-03
   8.2049760000000000E+12   -7.2505922865792779E+42   -8.2417141424900604E-03
   8.8361280000000000E+12   -7.2475688705248922E+42   -8.6552662779592997E-03
   9.4672800000000000E+12   -7.2384853742183357E+42   -9.8977348061178028E-03
   1.0098432000000000E+13   -7.2296687592664512E+42   -1.1103698482758615E-02
   1.0729584000000000E+13   -7.2270370125941615E+42   -1.1463676876986134E-02
   1.1360736000000000E+13   -7.2232949503798632E+42   -1.1975527641797993E-02
   1.1991888000000000E+13   -7.2205837361684959E+42   -1.2346375850134751E-02
   1.2623040000000000E+13   -7.2127297269171760E+42   -1.3420671362049797E-02
   1.3254192000000000E+13   -7.2096783434430900E+42   -1.3838048967098008E-02
   1.3885344000000000E+13   -7.2056382887238007E+42   -1.4390660062137697E-02
   1.4516496000000000E+13   -7.2042654172961718E+42   -1.4578445633295542E-02
   1.5147648000000000E+13   -7.1965633184634159E+42   -1.5631962371509898E-02
   1.5778800000000000E+13   -7.1917823517287320E+42   -1.6285917688002933E-02
   1.6409952000000000E+13   -7.1878487204909096E+42   -1.6823971852328153E-02
   1.7041104000000000E+13   -7.1787573501274500E+42   -1.8067517418177945E-02
   1.7672256000000000E+13   -7.1753986588625575E+42   -1.8526929526863203E-02
   1.8303408000000000E+13   -7.1702250465634925E+42   -1.9234592109809608E-02
   1.8934560000000000E+13   -7.1654955520098340E+42   -1.9881506903265983E-02
   1.9565712000000000E+13   -7.1599507852486032E+42   -2.0639937133686833E-02
   2.0196864000000000E+13   -7.1521915158904758E+42   -2.1701273831982094E-02
   2.0828016000000000E+13   -7.1372780201159413E+42   -2.3741187596388987E-02
   2.1459168000000000E+13   -7.1343412775621403E+42   -2.4142884264198267E-02
   2.2090320000000000E+13   -7.1302055547581828E+42   -2.4708581133739076E-02
   2.2721472000000000E+13   -7.1230459953270796E+42   -2.5687887665983192E-02
   2.3352624000000000E+13   -7.1183629870257454E+42   -2.6328443927046783E-02
   2.3983776000000000E+13   -7.1148452525254558E+42   -2.6809610458030271E-02
   2.4614928000000000E+13   -7.1104495162160789E+42   -2.7410872773570839E-02
   2.5246080000000000E+13   -7.1006054226235776E+42   -2.8757378134959186E-02
   2.5877232000000000E+13   -7.0986887287119425E+42   -2.9019549416033047E-02
   2.6508384000000000E+13   -7.0976348467670167E+42   -2.9163702625851579E-02
   2.7139536000000000E+13   -7.0926535255743419E+42   -2.9845063040572058E-02
   2.7770688000000000E+13   -7.0875225898022755E+42   -3.0546888197058735E-02
   2.8401840000000000E+13   -7.0830928750957361E+42   -3.1152798182140513E-02
   2.9032992000000000E+13   -7.0721280521753406E+42   -3.2652600343736467E-02
   2.9664144000000000E+13   -7.0673451482327275E+42   -3.3306820637480909E-02
   3.0295296000000000E+13   -7.0602747624204801E+42   -3.4273929728207891E-02
   3.0926448000000000E+13   -7.0559996975078333E+42   -3.4858686239416507E-02
   3.1557600000000000E+13   -7.0529546405014070E+42   -3.5275198490784122E-02
   3.2188752000000000E+13   -7.0475963651627676E+42   -3.6008119851544937E-02
   3.2819904000000000E+13   -7.0450950050679461E+42   -3.6350263569175333E-02
   3.3451056000000000E+13   -7.0392770463179907E+42   -3.7146061839025045E-02
   3.4082208000000000E+13   -7.0324344458493918E+42   -3.8082013750720116E-02
   3.4713360000000000E+13   -7.0259590131581278E+42   -3.8967743325938525E-02
   3.5344512000000000E+13   -7.0190127189284933E+42   -3.9917878788802111E-02
   3.5975664000000000E+13   -7.0133644607052111E+42   -4.0690464899314986E-02
   3.6606816000000000E+13   -7.0068781871438296E+42   -4.1577677322049846E-02
   3.7237968000000000E+13   -7.0027979750540989E+42   -4.2135781265576849E-02
   3.7869120000000000E+13   -6.9977515619528135E+42   -4.2826045151511186E-02
   3.8500272000000000E+13   -6.9956168159302983E+42   -4.3118042270139635E-02
   3.9131424000000000E+13   -6.9925724075179898E+42   -4.3534465804811399E-02
   3.9762576000000000E+13   -6.9796787779476801E+42   -4.5298096065031837E-02
   4.0393728000000000E+13   -6.9761724445144773E+42   -4.5777703123036563E-02
   4.1024880000000000E+13   -6.9663393277264788E+42   -4.7122707043385663E-02
   4.1656032000000000E+13   -6.9636737815589589E+42   -4.7487308636398530E-02
   4.2287184000000000E+13   -6.9598860891294445E+42   -4.8005400842217889E-02
   4.2918336000000000E+13   -6.9408095443328070E+42   -5.0614749240226221E-02
   4.3549488000000000E+13   -6.9369083912013047E+42   -5.1148360949400354E-02
   4.4180640000000000E+13   -6.9260358221318104E+42   -5.2635544345877930E-02
   4.4811792000000000E+13   -6.9124254234404952E+42   -5.4497216488293254E-02
   4.5442944000000000E+13   -6.9100498858634195E+42   -5.4822149815435581E-02
   4.6074096000000000E+13   -6.9073298266498729E+42   -5.5194207870341135E-02
   4.6705248000000000E+13   -6.9042233288777871E+42   -5.5619124178373891E-02
   4.7336400000000000E+13   -6.8971108986459481E+42   -5.6591984233967725E-02
   4.7967552000000000E+13   -6.8928624637573845E+42   -5.7173098208678184E-02
   4.8598704000000000E+13   -6.8905281320552315E+42   -5.7492395269669365E-02
   4.9229856000000000E+13   -6.8890011354005788E+42   -5.7701262562832666E-02
   4.9861008000000000E+13   -6.8821495420888029E+42   -5.8638444543242366E-02
   5.0492160000000000E+13   -6.8755448466815980E+42   -5.9541855069825816E-02
   5.1123312000000000E+13   -6.8627394684637117E+42   -6.1293414038964815E-02
   5.1754464000000000E+13   -6.8572952860416595E+42   -6.2038086034490493E-02
   5.2385616000000000E+13   -6.8547989046286109E+42   -6.2379548752734118E-02
   5.3016768000000000E+13   -6.8526048334551947E+42   -6.2679660547742141E-02
   5.3647920000000000E+13   -6.8491869060601929E+42   -6.3147175156269608E-02
   5.4279072000000000E+13   -6.8461915310779485E+42   -6.3556891747752753E-02
   5.4910224000000000E+13   -6.8426652679110962E+42   -6.4039224855947666E-02
   5.5541376000000000E+13   -6.8402005969937375E+42   -6.4376350115180211E-02
   5.6172528000000000E+13   -6.8376189275237508E+42   -6.4729478795845924E-02
   5.6803680000000000E+13   -6.8324865865300740E+42   -6.5431496162861133E-02
   5.7434832000000000E+13   -6.8231611774256107E+42   -6.6707054266642710E-02
   5.8065984000000000E+13   -6.8173891042218786E+42   -6.7496576170525430E-02
   5.8697136000000000E+13   -6.8157047562891271E+42   -6.7726966454870238E-02
   5.9328288000000000E+13   -6.8108215412510416E+42   -6.8394907608396352E-02
   5.9959440000000000E+13   -6.8066184292394283E+42   -6.8969822180771426E-02
   6.0590592000000000E+13   -6.8032635805135371E+42   -6.9428708695168290E-02
   6.1221744000000000E+13   -6.7953201058459325E+42   -7.0515241561549175E-02
   6.1852896000000000E+13   -6.7922238679509949E+42   -7.0938754492068545E-02
   6.2484048000000000E+13   -6.7891831571089633E+42   -7.1354672261719376E-02
   6.3115200000000000E+13   -6.7822933629766577E+42   -7.2297079467709205E-02
